Serial number:,,,Lectura,Cuentas,,Lectura,Cuentas
Tubo GM:,,,,,,1,323
Vop=820 v,,,,,,2,324
,,,,,,3,302
,,,,,,4,331
,,,,,,5,287
,,,,,,6,313
,,,,,,7,319
,,,,,,8,328
,,,,,,9,297
,,,,,,10,331
,,,,,,11,347
,,,,,,12,315
,,,,,,13,323
,,,,,,14,320
,,,,,,15,315
,,,,,,16,289
,,,,,,17,306
,,,,,,18,282
,,,,,,19,315
,,,,,,20,312
,,,,,,21,299
,,,,,,22,301
,,,,,,23,329
,,,,,,24,320
,,,,,,25,308
,,,,,,26,329
,,,,,,27,296
,,,,,,28,264
,,,,,,29,318
,,,,,,30,305
,,,,,,31,309
,,,,,,32,310
,,,,,,33,328
,,,,,,34,344
,,,,,,35,322
,,,,,,36,331
,,,,,,37,305
,,,,,,38,297
,,,,,,39,301
,,,,,,40,329
,,,,,,41,320
,,,,,,42,323
,,,,,,43,308
,,,,,,44,295
,,,,,,45,276
,,,,,,46,334
,,,,,,47,285
,,,,,,48,334
,,,,,,49,312
,,,,,,50,313
,,,,,,51,320
,,,,,,52,291
,,,,,,53,319
,,,,,,54,299
,,,,,,55,304
,,,,,,56,283
,,,,,,57,328
,,,,,,58,292
,,,,,,59,326
,,,,,,60,298
,,,,,,61,307
,,,,,,62,340
,,,,,,63,305
,,,,,,64,283
,,,,,,65,305
,,,,,,66,305
,,,,,,67,302
,,,,,,68,303
,,,,,,69,294
,,,,,,70,307
,,,,,,71,311
,,,,,,72,299
,,,,,,73,326
,,,,,,74,296
,,,,,,75,306
,,,,,,76,348
,,,,,,77,299
,,,,,,78,303
,,,,,,79,310
,,,,,,80,309
,,,,,,81,280
,,,,,,82,308
,,,,,,83,308
,,,,,,84,310
,,,,,,85,316
,,,,,,86,308
,,,,,,87,295
,,,,,,88,316
,,,,,,89,311
,,,,,,90,299
,,,,,,91,308
,,,,,,92,309
,,,,,,93,317
,,,,,,94,310
,,,,,,95,318
,,,,,,96,304
,,,,,,97,315
,,,,,,98,312
,,,,,,99,336
,,,,,,100,328
,,,,,,101,300
,,,,,,102,312
,,,,,,103,315
,,,,,,104,300
,,,,,,105,315
,,,,,,106,305
,,,,,,107,328
,,,,,,108,304
,,,,,,109,283
,,,,,,110,295
,,,,,,111,306
,,,,,,112,309
,,,,,,113,298
,,,,,,114,293
,,,,,,115,294
,,,,,,116,304
,,,,,,117,316
,,,,,,118,328
,,,,,,119,291
,,,,,,120,315
,,,,,,121,291
,,,,,,122,345
,,,,,,123,304
,,,,,,124,276
,,,,,,125,313
,,,,,,126,305
,,,,,,127,299
,,,,,,128,307
,,,,,,129,294
,,,,,,130,298
,,,,,,131,281
,,,,,,132,319
,,,,,,133,310
,,,,,,134,288
,,,,,,135,316
,,,,,,136,280
,,,,,,137,320
,,,,,,138,266
,,,,,,139,291
,,,,,,140,308
,,,,,,141,308
,,,,,,142,300
,,,,,,143,312
,,,,,,144,318
,,,,,,145,336
,,,,,,146,298
,,,,,,147,287
,,,,,,148,306
,,,,,,149,281
,,,,,,150,293
,,,,,,151,333
,,,,,,152,311
,,,,,,153,296
,,,,,,154,323
,,,,,,155,332
,,,,,,156,317
,,,,,,157,295
,,,,,,158,302
,,,,,,159,341
,,,,,,160,321
,,,,,,161,319
,,,,,,162,321
,,,,,,163,306
,,,,,,164,321
,,,,,,165,324
,,,,,,166,309
,,,,,,167,266
,,,,,,168,278
,,,,,,169,310
,,,,,,170,296
,,,,,,171,291
,,,,,,172,307
,,,,,,173,287
,,,,,,174,247
,,,,,,175,329
,,,,,,176,327
,,,,,,177,323
,,,,,,178,335
,,,,,,179,333
,,,,,,180,314
,,,,,,181,305
,,,,,,182,313
,,,,,,183,299
,,,,,,184,307
,,,,,,185,291
,,,,,,186,313
,,,,,,187,300
,,,,,,188,281
,,,,,,189,290
,,,,,,190,312
,,,,,,191,313
,,,,,,192,297
,,,,,,193,297
,,,,,,194,306
,,,,,,195,352
,,,,,,196,287
,,,,,,197,292
,,,,,,198,309
,,,,,,199,298
,,,,,,200,305
,,,,,,201,271
,,,,,,202,320
,,,,,,203,325
,,,,,,204,350
,,,,,,205,309
,,,,,,206,311
,,,,,,207,286
,,,,,,208,314
,,,,,,209,272
,,,,,,210,321
,,,,,,211,303
,,,,,,212,295
,,,,,,213,340
,,,,,,214,317
,,,,,,215,346
,,,,,,216,311
,,,,,,217,303
,,,,,,218,333
,,,,,,219,290
,,,,,,220,294
